"","emote_name","emote_image"
"1","catJAM","https://cdn.betterttv.net/emote/5f1b0186cf6d2144653d2970/3x"
"2","OMEGALUL","https://cdn.betterttv.net/emote/583089f4737a8e61abb0186b/3x"
"3","monkaS","https://cdn.betterttv.net/emote/56e9f494fff3cc5c35e5287e/3x"
"4","KEKW","https://cdn.betterttv.net/emote/5e9c6c187e090362f8b0b9e8/3x"
"5","Clap","https://cdn.betterttv.net/emote/55b6f480e66682f576dd94f5/3x"
"6","Sadge","https://cdn.betterttv.net/emote/5e0fa9d40550d42106b8a489/3x"
"7","EZ","https://cdn.betterttv.net/emote/5590b223b344e2c42a9e28e3/3x"
"8","POGGERS","https://cdn.betterttv.net/emote/58ae8407ff7b7276f8e594f2/3x"
"9","pepeJAM","https://cdn.betterttv.net/emote/5b77ac3af7bddc567b1d5fb2/3x"
"10","PepeHands","https://cdn.betterttv.net/emote/59f27b3f4ebd8047f54dee29/3x"
"11","PogU","https://cdn.betterttv.net/emote/5e4e7a1f08b4447d56a92967/3x"
"12","PepeLaugh","https://cdn.betterttv.net/emote/5c548025009a2e73916b3a37/3x"
"13","Pepega","https://cdn.betterttv.net/emote/5aca62163e290877a25481ad/3x"
"14","pepeD","https://cdn.betterttv.net/emote/5b1740221c5a6065a7bad4b5/3x"
"15","5Head","https://cdn.betterttv.net/emote/5d6096974932b21d9c332904/3x"
"16","modCheck","https://cdn.betterttv.net/emote/5d7eefb7c0652668c9e4d394/3x"
"17","blobDance","https://cdn.betterttv.net/emote/5ada077451d4120ea3918426/3x"
"18","peepoClap","https://cdn.betterttv.net/emote/5d38aaa592fc550c2d5996b8/3x"
"19","popCat","https://cdn.betterttv.net/emote/5fa8f232eca18f6455c2b2e1/3x"
"20","ratJAM","https://cdn.betterttv.net/emote/5f43037db2efd65d77e8a88f/3x"
"21","monkaW","https://cdn.betterttv.net/emote/59ca6551b27c823d5b1fd872/3x"
"22","PepegaAim","https://cdn.betterttv.net/emote/5d0d7140ca4f4b50240ff6b4/3x"
"23","gachiHYPER","https://cdn.betterttv.net/emote/59143b496996b360ff9b807c/3x"
"24","PepePls","https://cdn.betterttv.net/emote/55898e122612142e6aaa935b/3x"
"25","peepoLeave","https://cdn.betterttv.net/emote/5d324913ff6ed36801311fd2/3x"
"26","weirdChamp","https://cdn.betterttv.net/emote/5d20a55de1cfde376e532972/3x"
"27","AYAYA","https://cdn.betterttv.net/emote/58493695987aab42df852e0f/3x"
"28","RainbowPls","https://cdn.betterttv.net/emote/5b35cae2f3a33e2b6f0058ef/3x"
"29","peepoHey","https://cdn.betterttv.net/emote/5c0e1a3c6c146e7be4ff5c0c/3x"
"30","pressF","https://cdn.betterttv.net/emote/5c857788f779543bcdf37124/3x"
